    LR05     LR05     LR05     HW04    HW04      HW04     Shack.  Shack.    Shack.   
    age      adjusted d18O     age     adjusted  d18O     age     adjusted  d18O
             age                       age                        age

   126.0    120.1    3.160    136.6    133.1    1.804    378.0    357.3    4.510 
   127.0    120.9    3.370    137.6    134.2    1.877    381.0    360.2    4.440 
   128.0    121.8    3.710    138.6    135.2    1.759    384.0    363.0    4.130 
   129.0    122.6    3.900    139.6    136.2    1.676    387.0    367.1    4.290 
   130.0    123.4    3.670    140.6    137.2    1.632    390.0    373.8    4.210 
   131.0    124.3    3.810    141.6    138.2    1.569    393.0    380.5    3.890 
   132.0    125.2    4.200    142.6    139.2    1.652    396.0    387.2    3.840 
   133.0    126.2    4.410    143.6    140.3    1.627    399.0    393.9    3.630 
   134.0    127.1    4.700    144.6    141.3    1.570    402.0    400.6    3.510 
   135.0    128.1    4.860    145.6    142.3    1.561    405.0    409.2    3.590 
   136.0    129.1    4.820    146.6    143.3    1.462    408.0    418.0    4.070 
   137.0    130.0    4.800    147.6    144.3    1.489    411.0    422.8    4.540 
   138.0    131.0    4.890    148.6    145.3    1.417    414.0    426.2    4.880 
   139.0    132.0    4.870    149.6    146.4    1.325    426.0    435.8    4.560 
   140.0    132.9    4.980    150.6    147.4    1.322    429.0    438.0    4.590 
   141.0    133.9    4.810    151.6    148.4    1.226    432.0    440.2    4.620 
   142.0    134.9    4.750    152.6    149.4    1.033    435.0    442.5    4.660 
   143.0    135.9    4.780    153.6    150.4    1.074    438.0    444.7    4.680 
   144.0    136.8    4.820    154.6    151.4    1.102    441.0    446.9    4.640 
   145.0    137.8    4.740    155.6    152.5    1.051    444.0    449.1    4.640 
   146.0    138.8    4.770    156.6    153.5    1.096    447.0    451.4    4.420 
   147.0    139.7    4.820    157.6    154.5    1.046    450.0    454.9    4.560 
   148.0    140.7    4.710    158.6    155.5    1.019    453.0    458.6    4.610 
   149.0    141.7    4.750    159.6    156.5    0.958    456.0    462.4    4.500 
   150.0    142.7    4.750    160.6    157.5    0.994    459.0    466.2    4.490 
   151.0    143.6    4.660    161.6    158.5    1.038    462.0    470.0    4.440 
   152.0    144.6    4.640    162.6    159.6    0.989    465.0    473.8    4.400 
   153.0    145.6    4.620    163.6    160.6    0.880    468.0    477.6    4.290 
   154.0    146.5    4.660    164.6    161.6    0.697    471.0    481.0    4.100 
   155.0    147.5    4.510    165.6    162.6    0.637    474.0    482.6    3.950 
   156.0    148.5    4.780    166.6    163.7    0.680    477.0    484.3    3.840 
   157.0    149.5    4.740    167.6    164.8    0.707    480.0    485.9    3.850 
   158.0    150.4    4.690    168.6    165.8    0.669    483.0    488.3    3.870 
   159.0    151.4    4.660    169.6    166.9    0.717    486.0    492.3    4.090 
   160.0    152.4    4.690    170.6    167.9    0.780    489.0    496.3    4.230 
   161.0    153.3    4.650    171.6    169.0    0.777    492.0    500.4    4.250 
   162.0    154.3    4.660    172.6    170.0    0.790    495.0    504.3    4.150 
   163.0    155.3    4.700    173.6    171.1    0.854    498.0    507.6    3.980 
   164.0    156.3    4.680    174.6    172.2    0.650    501.0    511.0    4.060 
   165.0    157.2    4.680    175.6    173.2    0.670    504.0    514.3    4.330 
   166.0    158.2    4.480    176.6    174.3    0.666    507.0    517.6    4.640 
   167.0    159.2    4.410    177.6    175.3    0.597    510.0    521.0    4.420 
   168.0    160.1    4.480    178.6    176.4    0.589    513.0    524.3    4.410 
   169.0    161.1    4.500    179.6    177.5    0.411    516.0    527.6    4.310 
   170.0    162.1    4.500    180.6    178.5    0.216    519.0    531.0    4.310 
   171.0    163.0    4.530    181.6    179.6    0.135    522.0    534.3    4.320 
   172.0    163.9    4.460    182.6    180.6    0.069    525.0    537.3    4.450 
   173.0    164.8    4.380    183.6    181.7   -0.069    528.0    539.6    4.500 
   174.0    165.6    4.280    184.6    182.7   -0.275    531.0    541.9    4.620 
   175.0    166.5    4.320    185.6    183.8   -0.465    543.0    556.3    4.530 
   176.0    167.4    4.390    186.6    184.9   -0.590    546.0    561.2    4.270 
   177.0    168.3    4.460    187.6    185.9   -0.712    549.0    563.4    4.230 
   178.0    169.2    4.440    188.6    187.0   -0.834    552.0    565.6    4.010 
   179.0    170.1    4.480    189.6    188.0   -1.026    555.0    567.9    3.940 
   180.0    171.0    4.390    190.6    189.0   -1.449    558.0    570.1    3.770 
   181.0    171.9    4.460    191.6    189.9   -1.819    561.0    572.3    3.730 
   182.0    172.8    4.480    192.6    190.7   -1.414    564.0    574.5    3.690 
   183.0    173.7    4.370    193.6    191.5   -1.360    567.0    576.3    3.580 
   184.0    174.6    4.400    194.6    192.4   -1.165    570.0    577.8    3.620 
   185.0    175.5    4.590    195.6    193.2   -1.058    573.0    579.3    3.670 
   186.0    176.4    4.470    196.6    194.0   -0.994    576.0    580.7    3.910 
   187.0    177.3    4.400    197.6    194.9   -0.900    579.0    582.2    4.050 
   188.0    178.2    4.460    198.6    195.7   -0.859    582.0    583.6    4.090 
   189.0    179.1    4.390    199.6    196.5   -0.833    585.0    586.5    4.170 
   190.0    180.0    4.280    200.6    197.4   -0.882    597.0    601.6    4.100 
   191.0    180.9    4.130    201.6    198.2   -0.896    600.0    603.9    4.190 
   192.0    181.8    3.760    202.6    199.0   -0.947    603.0    606.2    4.040 
   193.0    182.6    3.920    203.6    199.9   -1.050    606.0    608.4    4.140 
   194.0    183.5    3.840    204.6    200.7   -1.123    609.0    610.7    3.920 
   195.0    184.4    3.910    205.6    201.5   -1.139    612.0    612.9    3.740 
   196.0    185.3    3.820    206.6    202.4   -1.156    615.0    615.2    3.780 
   197.0    186.2    3.740    207.6    203.2   -1.208    618.0    617.5    3.880 
   198.0    187.1    3.820    208.6    204.0   -1.266    621.0    619.7    4.380 
   199.0    188.0    3.570    209.6    204.9   -1.272    624.0    622.7    4.640 
   200.0    188.9    3.530    210.6    205.8   -1.189    627.0    626.0    5.000 
   201.0    189.9    3.530    211.6    206.7   -0.905    630.0    629.3    5.090 
   202.0    190.9    3.630    212.6    207.6   -0.416    633.0    632.7    4.820 
   203.0    192.0    3.610    213.6    208.6    0.069    636.0    636.0    4.920 
   204.0    193.0    3.780    214.6    209.5    0.242    639.0    639.3    5.020 
   205.0    194.0    3.820    215.6    210.4    0.209    642.0    642.6    4.960 
   206.0    195.0    3.770    216.6    211.3    0.187    645.0    646.0    4.840 
   207.0    196.0    3.780    217.6    212.2    0.139    648.0    648.6    4.880 
   208.0    197.0    3.710    218.6    213.1    0.068    651.0    650.3    4.900 
   209.0    198.1    3.640    219.6    214.0    0.208    654.0    652.0    4.810 
   210.0    199.1    3.570    220.6    214.9    0.220    657.0    653.8    4.780 
   211.0    200.1    3.600    221.6    215.8    0.163    660.0    655.5    4.770 
   212.0    201.1    3.610    222.6    216.8    0.070    663.0    657.3    4.700 
   213.0    202.1    3.650    223.6    217.7   -0.083    666.0    659.0    4.700 
   214.0    203.1    3.560    224.6    218.6   -0.180    669.0    660.7    4.810 
   215.0    204.1    3.540    225.6    219.5   -0.296    672.0    662.5    4.510 
   216.0    205.1    3.530    226.6    220.4   -0.291    675.0    664.7    4.550 
   217.0    206.0    3.480    227.6    221.3   -0.493    678.0    667.8    4.500 
   218.0    207.0    3.720    228.6    222.2   -0.732    681.0    673.4    4.440 
   219.0    207.9    3.940    229.6    223.1   -0.858    684.0    679.3    4.210 
   220.0    208.8    3.980    230.6    224.1   -0.983    687.0    685.1    4.000 
   221.0    209.7    4.230    231.6    225.0   -1.018    690.0    690.9    3.810 
   222.0    210.7    4.380    232.6    225.9   -1.069    693.0    694.6    3.940 
   223.0    211.6    4.440    233.6    226.8   -1.173    696.0    698.1    4.010 
   224.0    212.5    4.390    234.6    227.7   -1.209    699.0    701.6    4.150 
   225.0    213.4    4.280    235.6    228.6   -1.189    702.0    705.0    4.280 
   226.0    214.4    4.290    236.6    229.5   -1.034    705.0    708.5    4.280 
   227.0    215.3    4.190    237.6    230.4   -0.590    708.0    712.0    4.270 
   228.0    216.2    4.190    238.6    231.6   -0.107    711.0    714.6    4.380 
   229.0    217.1    4.020    239.6    233.3    0.371    714.0    716.5    4.610 
   230.0    218.1    4.300    240.6    235.2    0.634    717.0    718.6    4.770 
   231.0    219.0    4.220    241.6    237.1    0.696    720.0    721.4    4.900 
   232.0    219.9    4.170    242.6    239.0    1.007    723.0    724.1    4.790 
   233.0    220.8    3.970    243.6    240.9    1.059    726.0    726.8    4.460 
   234.0    221.8    3.840    244.6    242.8    1.006    729.0    729.5    4.330 
   235.0    222.7    3.710    245.6    244.6    1.006    732.0    732.2    4.280 
   236.0    223.6    3.660    246.6    246.5    1.004    735.0    734.8    4.380 
   237.0    224.5    3.470    247.6    248.4    0.889    741.0    739.5    4.370 
   238.0    225.5    3.510    248.6    250.3    0.890    744.0    742.2    4.370 
   239.0    226.4    3.440    249.6    251.4    0.980    747.0    744.9    4.570 
   240.0    227.3    3.440    250.6    252.0    1.002    750.0    747.7    4.730 
   241.0    228.2    3.540    251.6    252.6    0.842    753.0    750.4    4.720 
   242.0    229.2    3.680    252.6    253.3    0.944    756.0    753.1    4.660 
   243.0    230.1    3.780    253.6    253.9    0.868    759.0    755.9    4.640 
   244.0    231.0    4.050    254.6    254.5    0.801    762.0    758.6    4.480 
   245.0    232.0    4.170    255.6    255.1    0.691    765.0    761.4    4.400 
   246.0    233.1    4.380    256.6    255.8    0.597    768.0    764.1    4.520 
   247.0    234.1    4.310    257.6    256.4    0.830    771.0    766.8    4.420 
   248.0    235.2    4.380    258.6    257.0    0.807    774.0    769.6    4.070 
   249.0    236.2    4.360    259.6    257.7    0.760    777.0    772.3    3.860 
   250.0    237.3    4.500    260.6    258.3    0.849    780.0    775.0    3.720 
   251.0    238.3    4.580    261.6    258.9    0.850    783.0    778.3    3.730 
   252.0    239.4    4.630    262.6    259.6    0.764    786.0    783.2    3.890 
   253.0    240.4    4.520    263.6    260.2    0.745    789.0    788.7    4.290 
   254.0    241.5    4.570    264.6    260.8    0.637    792.0    794.1    4.600 
   255.0    242.6    4.370    265.6    261.4    0.650    795.0    798.4    4.690 
   256.0    243.6    4.430    266.6    262.1    0.634    798.0    801.3    4.680 
   257.0    244.7    4.550    267.6    262.7    0.570    801.0    804.2    4.670 
   258.0    245.7    4.510    268.6    263.3    0.449    804.0    807.1    4.570 
   259.0    246.8    4.520    269.6    264.0    0.415    807.0    810.0    4.210 
   260.0    247.8    4.460    270.6    264.6    0.318    810.0    812.9    4.060 
   261.0    248.9    4.520    271.6    265.2    0.378    813.0    815.9    3.970 
   262.0    249.9    4.450    272.6    265.8    0.335    816.0    818.8    4.090 
   263.0    251.0    4.460    273.6    266.5    0.185    819.0    821.7    4.080 
   264.0    252.0    4.420    274.6    267.1    0.212    822.0    824.6    4.150 
   265.0    253.0    4.440    275.6    267.7    0.220    825.0    827.5    4.070 
   266.0    254.1    4.500    276.6    268.4    0.141    828.0    830.4    4.060 
   267.0    255.1    4.500    277.6    269.0    0.031    831.0    833.3    4.110 
   268.0    256.1    4.330    278.6    269.6   -0.056    834.0    836.2    4.040 
   269.0    257.1    4.520    279.6    270.2   -0.171    837.0    839.1    3.900 
   270.0    258.2    4.510    280.6    270.9   -0.268    840.0    842.0    3.860 
   271.0    259.2    4.500    281.6    271.5   -0.418    843.0    844.9    3.810 
   272.0    260.2    4.440    282.6    272.1   -0.689    846.0    847.8    3.780 
   273.0    261.2    4.440    283.6    272.8   -0.922    849.0    850.7    3.930 
   274.0    262.3    4.380    284.6    273.4   -0.979    852.0    853.6    3.830 
   275.0    263.3    4.380    285.6    274.0   -0.947    855.0    856.5    3.660 
   276.0    264.3    4.300    286.6    274.9   -0.853    858.0    859.4    3.770 
   277.0    265.4    4.440    287.6    276.1   -0.634    861.0    861.3    3.820 
   278.0    266.4    4.310    288.6    277.5   -0.446    864.0    863.4    3.990 
   279.0    267.4    4.230    289.6    278.9   -0.309    867.0    865.5    4.410 
   280.0    268.4    4.140    290.6    280.3   -0.370    870.0    867.4    4.660 
   281.0    269.5    4.210    291.6    281.7   -0.292    873.0    868.9    5.010 
   282.0    270.5    3.980    292.6    283.0   -0.274    876.0    870.2    5.010 
   283.0    271.5    3.870    293.6    284.4   -0.292    879.0    872.4    4.960 
   284.0    272.5    3.860    294.6    285.8   -0.367    882.0    876.5    4.810 
   285.0    273.6    3.840    295.6    287.2   -0.432    885.0    880.7    4.750 
   286.0    274.5    3.820    296.6    288.6   -0.586    888.0    884.8    4.750 
   287.0    275.3    3.890    297.6    290.0   -0.773    891.0    889.0    4.740 
   288.0    276.0    4.020    298.6    291.3   -0.906    894.0    893.1    4.690 
   289.0    276.8    4.060    299.6    292.7   -1.031    897.0    897.3    4.490 
   290.0    277.5    4.100    300.6    294.1   -1.092    900.0    901.4    4.350 
   291.0    278.2    4.110    301.6    295.5   -1.102    903.0    905.5    4.170 
   292.0    278.9    4.270    302.6    296.9   -1.121    906.0    907.4    4.170 
   293.0    279.6    4.220    303.6    298.2   -1.228    909.0    908.9    4.280 
   294.0    280.4    4.330    304.6    299.3   -1.304    912.0    910.8    4.460 
   295.0    281.1    4.310    305.6    300.2   -1.223    915.0    916.1    4.580 
   296.0    281.8    4.230    306.6    301.2   -1.126    918.0    918.8    4.510 
   297.0    282.5    4.300    307.6    302.1   -1.074    921.0    921.5    4.390 
   298.0    283.3    4.170    308.6    303.1   -1.146    924.0    924.3    4.260 
   299.0    284.0    4.230    309.6    304.0   -1.281    927.0    927.1    4.240 
   300.0    284.7    4.020    310.6    305.0   -1.378    930.0    929.8    4.190 
   301.0    285.4    4.060    311.6    305.9   -1.379    933.0    932.6    4.180 
   302.0    286.2    4.060    312.6    306.9   -1.368    936.0    935.4    4.020 
   303.0    286.9    4.000    313.6    307.8   -1.314    939.0    938.1    3.830 
   304.0    287.6    4.070    314.6    308.8   -1.354    942.0    940.9    3.740 
   305.0    288.3    4.070    315.6    309.7   -1.394    945.0    943.7    3.630 
   306.0    289.0    4.050    316.6    310.7   -1.516    948.0    946.3    3.430 
   307.0    289.8    4.000    317.6    311.6   -1.627    951.0    948.5    3.470 
