ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
379.56,-15.64,634.5,,429.88,-5.02,925.25,1445.75,310.62,-23.46,429.94,-4.99,61.96,586.59,76.9453,41.9538,27.421,375.9,293.13,1.948333318,1.948333318,6.3,17.71,13.8,81.51,0.94,,1
626,-6.64,669.12,,711,-1.84,872.25,1506,682.12,-2.74,592.81,-7.24,92.32,639.93,78.0933,40.1843,25.9373,334.07,251.29,2.724902473,2.724902473,6.65,20.65,15.49,75.99,1.02,,0
393.06,-32.67,830.25,,533.38,-14.63,1213.06,1562,533.38,-14.63,339.62,-7.01,71.24,512.36,61.863,39.5558,27.0365,342.21,234.3,1.110718278,1.110718278,6.43,17.92,13.46,77.61,0.98,,0
587.94,-118.76,691.75,,1137.94,-5.79,847,2793.25,1137.94,-5.76,639.34,-62.82,1.68,916.18,60.4696,49.5053,27.6445,435.48,265.94,2.061547099,2.061547099,5.06,21.96,21.32,96.18,1.26,,2
695.09,-105.01,834.5,,1272.56,-1.68,600.56,1802.88,1272.56,-1.65,1025.38,-15.28,26.69,959.16,59.9484,46.9068,30.0198,387.48,260.49,2.108485993,2.108485993,5.35,21.88,21.26,99.5,1.33,,3
786.09,-125.2,816.88,,1207.81,-8.96,648.44,1723.25,1078.44,-32.02,1130.5,-13.97,25.67,883.66,62.6753,50.8329,36.8504,456.57,338.15,3.285153223,3.285153223,5.26,21.02,20.75,98.86,1.34,,2
1215.88,-1.42,714.81,,2391,0.01,674.5,1010.75,2391,-0.01,1167.62,-2.96,88.72,1111.24,44.2831,29.8193,21.3955,165.63,115.06,1.326994697,1.326994697,6.68,26.84,22.02,76.07,1.32,,0
1304.44,-2.02,763.94,,2741.75,0.01,713.75,1041.25,2741.75,-0.01,1238.62,-4.27,93.47,1184.55,49.0968,36.1728,27.9019,214.41,169.8,2.24028506,2.24028506,7.23,28.54,22.18,72.26,1.37,,0
1296.88,-0.29,803.94,,2083.12,0,710.75,804.79,2083.12,-0.02,1368.12,-0.62,151.55,1010.69,48.0402,31.9449,22.5539,175.35,115.57,1.435328899,1.435328899,6.31,26.23,21.51,74.73,1.32,,0
2245,-2.22,932.25,,3572.06,0.01,867.21,2642.44,3572.06,0.01,2212.5,-9.45,29.73,800.43,37.1674,18.6387,12.2068,26.63,6.63,0.098448791,0.098448791,6.95,24.26,18.4,72.2,0.99,,0
